"Gender","Year","Age","Exposure","Deaths"
"M",1992,27,418121,365
"M",1992,28,416822,388
"M",1992,29,409725,377
"M",1992,30,401483,382
"M",1992,31,391923,400
"M",1992,32,378290,373
"M",1992,33,366512,385
"M",1992,34,357480,410
"M",1992,35,348169,432
"M",1992,36,338811,433
"M",1992,37,333057,436
"M",1992,38,332610,559
"M",1992,39,331555,553
"M",1992,40,330074,554
"M",1992,41,335171,636
"M",1992,42,344691,659
"M",1992,43,359571,773
"M",1992,44,384441,917
"M",1992,45,384902,1016
"M",1992,46,347219,949
"M",1992,47,323586,1072
"M",1992,48,318796,1156
"M",1992,49,304087,1214
"M",1992,50,280955,1262
"M",1993,20,347986,335
"M",1993,21,367810,308
"M",1993,22,379134,330
"M",1993,23,384203,304
"M",1993,24,390302,319
"M",1993,25,398852,327
"M",1993,26,406629,343
"M",1993,27,412642,369
"M",1993,28,416177,356
"M",1993,29,415155,404
"M",1993,30,407882,383
"M",1993,31,399717,426
"M",1993,32,390015,365
"M",1993,33,377259,425
"M",1993,34,365883,415
"M",1993,35,357188,423
"M",1993,36,347828,456
"M",1993,37,338177,446
"M",1993,38,332375,505
"M",1993,39,332192,546
"M",1993,40,330739,570
"M",1993,41,329617,619
"M",1993,42,334269,671
"M",1993,43,343854,711
"M",1993,44,358778,837
"M",1993,45,382973,966
"M",1993,46,383380,1093
"M",1993,47,346326,1055
"M",1993,48,322668,1162
"M",1993,49,317546,1238
"M",1993,50,302555,1366
"M",1994,20,327151,280
"M",1994,21,347338,302
"M",1994,22,367599,312
"M",1994,23,378483,321
"M",1994,24,383071,335
"M",1994,25,390292,342
"M",1994,26,398748,394
"M",1994,27,406480,357
"M",1994,28,412265,376
"M",1994,29,415651,372
"M",1994,30,414063,406
"M",1994,31,406900,439
"M",1994,32,398503,424
"M",1994,33,389044,494
"M",1994,34,376348,461
"M",1994,35,365447,443
"M",1994,36,357045,455
"M",1994,37,347552,451
"M",1994,38,337815,468
"M",1994,39,332162,538
"M",1994,40,331650,566
"M",1994,41,330408,632
"M",1994,42,329097,642
"M",1994,43,333638,716
"M",1994,44,343174,858
"M",1994,45,357780,849
"M",1994,46,381771,1011
"M",1994,47,382066,1193
"M",1994,48,345334,1053
"M",1994,49,321745,1245
"M",1994,50,316129,1316
"M",1995,20,312325,265
"M",1995,21,327092,304
"M",1995,22,347876,294
"M",1995,23,367932,339
"M",1995,24,378312,331
"M",1995,25,384223,339
"M",1995,26,391370,325
"M",1995,27,399545,378
"M",1995,28,407554,390
"M",1995,29,412952,414
"M",1995,30,415836,415
"M",1995,31,413807,458
"M",1995,32,406607,437
"M",1995,33,398265,432
"M",1995,34,388395,455
"M",1995,35,375578,439
"M",1995,36,365267,488
"M",1995,37,357039,492
"M",1995,38,347647,514
"M",1995,39,337858,529
"M",1995,40,332035,564
"M",1995,41,331454,632
"M",1995,42,330145,697
"M",1995,43,328755,773
"M",1995,44,333231,752
"M",1995,45,342174,886
